NV-M3e;10;HNO3 5%;Мультиэлемент;ZVS;;;
AV-1-131;10;HNO3 5%;Мультиэлемент;ZVS;;;
AV-1-42;10;HNO3 5%;Мультиэлемент;ZVS;;;
обезм. р-р;10;HNO3 5%;Мультиэлемент;ZVS;;;
AV_1_1-s;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
NV_AV1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
NV1_3_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
NV_MSP-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
АОВ_1.2_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AV_12-1-1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AV-1-1-1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AV-1-42-1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AV13-2-1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
NV1-2-0-1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AV_1_131_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
AOB_1.3_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
M1(Ш1);в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110 (27.11.25) 1;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110 (27.11.25) 2;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110 (27.11.25) 3;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_215_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_220_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_315_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_310_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_310_3_0_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_110_1_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_210_1_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_310_1_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_110-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_210-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_310-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_105_2_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_115_1_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_105-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T15_115-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110_a_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110_b_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T13_110_ab_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_105_2_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_110_1_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_115_2_1-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_105-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_110-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
T17_115-S;в 10 раз;HNO3 5%;Мультиэлемент;ЖАМ;;;
;;;;;;;
Шифр;Разбавление;Среда;Аналиты;Кто готовил;;;
PV1;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
PV2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
PO1;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
PO2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
PO3;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
FO;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
TO;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
IM;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
AV_1_4.2.;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
LST_1;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
LST_2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
LST_3;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
LST_A;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
LST_B;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
NV1_7;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
;;;;;;;
ISO_4;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_A;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_B;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_B2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_0;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_1;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_3;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
S_4;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
;;;;;;;
ISO_2;в 10 раз;HNO3 5%;"Ca,Co,Cu,Fe,Ni";;;;
ISO_3;в 10 раз;;;;;;
Vd_1272;в 10 раз;;;;;;
Vd_148;в 10 раз;;;;;;
Vd_115_1;в 10 раз;;;;;;
Vd_1272_1;в 10 раз;;;;;;
Vd_148_1;в 10 раз;;;;;;
;;;;;;;
OM_C_1;в 10 раз;HNO3 5%;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_C_2;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_0_S;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_C_3_S;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_C_1_S;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_C_2_S;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
OM_C_5_S;;;"Ca,Co,Cu(10),Fe(500),Ni(20)";;;;
