Шифр;Масса навески (mg);V (ml);sample_mass;Среда;Аналиты;Кто готовил;;;;
T13_175_0_1_F;103;50;1.578;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_210_0_1_F;102.4;50;0.819;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_305_0_1_I;102;50;3.144;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_375_0_1_F;103.6;50;0.452;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_205_0_1_F;109.7;50;0.38;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_205_0_1_C;111.3;50;17.108;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_310_0_1_C;108.2;50;15.023;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
T13_275_0_1_F;100;50;0.57;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
AOB 1.1;108.96;50;;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
AOB 1.2;107;50;;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
AOB 1.3;107.1;50;;Разб. ЦВ в 10р;Мультиэлемент;"ЖАМ, Парвиз Вика";;;;
;;;;;;;;;;
T13_215_0_1_I;94.9;50;4.199;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_375_0_1_I;98.4;50;2.823;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_315_0_1_F;96.4;50;0.401;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_315_0_1_I;99.4;50;3.019;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_315_0_1_c;98.8;50;10.619;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_105_0_1_F;97.6;50;2.232;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_310_0_1_I;99.8;50;3.85;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_220_0_1_C;104;50;12.079;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_220_0_1_F;100.96;50;0.651;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_310_3_0_1_I;98.28;50;3.52;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_310_3_0_1_F;100.68;50;0.445;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_375_0_1_C;101.57;50;17.182;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_215_0_1_С;100.08;50;14.04;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_310_3_0_1_С;101.43;50;16.189;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
T13_215_0_1_F;102.18;50;2.199;ЦВ;Мультиэлемент;ЖАМ+5 курс Эк.+Вика;;;;
;;;;;;;;;;
АОВ_1.1_1_I;101.1;50;0.538;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
АОВ_1.2_1_С;113.6;50;8.984;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
АОВ_1.3_1_С;100.3;50;8.29;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
АОВ_1.3_1_I;100.6;50;1.248;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
АОВ_1.2_1_I;100;50;1.052;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
Т13_115_0_1_I;117.8;50;14.234;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
T13_120_0_1_I;111.9;50;8.564;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
T13_120_3_0_1_C;110.1;50;53.43;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
T13_115_0_1_F;102.8;50;1.926;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
T13_120_0_1_F;100.5;50;1.459;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
T13_120_0_1_C;103.4;50;71.201;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
ПФ4;106.8;50;0.107;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
К2;100.1;50;0.1;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"НН, ZVS";;;;
;;;;;;;;;;
холостая;0;50;0;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
PFF-2-R;98.8;50;3.212;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV11-110-F;88.6;50;0.089;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV11-110-1;47.4;50;0.047;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
МСП;113.4;50;;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV11-110-N;103.3;50;0.103;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV11-110-C;85.44;50;13.559;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
;;;;;;;;;;
AV 11;104.8;50;0.105;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AK-1;75.5;50;0.076;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV 11 110;136.7;50;0.137;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
АОВ 1.1-1;97.9;50;0.098;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
PF-F-3-R;142.7;50;3.954;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV-1-1-1-C;117.8;50;19.3;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV-1-1-1-F;94.5;50;4.01;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV-1-1-1-I;121.5;50;4.662;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
"аов 1,3-1F";122.4;50;1.422;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
"аов 1,2-1-f";137.1;50;1.004;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
k2-f-2-R;108.7;50;4.299;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
;;;;;;;;;;
AV12_1_1_C;100.6;50;1.793;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T17_110_1_1_C;100.1;50;65.917;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T17_105_2_1_C;100.3;50;57.992;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_115_310_1_1_I ???;100.6;50;2.971;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_105_2_1_С;100.2;50;50.409;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_310_0_1_С;100.8;50;29.831;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_115_2_1_С;100.2;50;0.1;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV_MSP_F;80.4;50;0.082;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T17_110_1_1_I;100.1;50;8.577;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV_-AV1_F;100.9;50;0.492;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_210_1_1_I;100;50;3.417;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_110_1_1_C;100.2;50;32.896;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_110_1_1_I;101.3;50;0.374;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV1_2;101.9;50;0.102;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV1_1;103.2;50;0.103;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_115_1_1_C;113.3;50;47.842;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
АОВ1.1_1_F;118.78;50;0.427;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_210_1_1_C;101.2;50;29.547;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV_AV_1_C;101.4;50;0.461;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
T15_210_1_1_F;63.4;50;0.065;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
NV_1_2_F;109.8;50;8.568;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
B1;-;50;;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
B2;-;50;;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";"Оля, ЖАМ, Костя Женя,ZVS";;;;
;;;;;;;;;;
NV-1-3-I;100;50;2.079;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
NVI-1;127.4;50;26.608;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AVI3-2-1-F;62.5;50;0.063;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
NV1-10.2;120.3;50;12.41;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV-1-4.2;384;50;57.156;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
K2-F-3-R;151;50;4.338;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV11-110-N;100.8;50;3.324;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV12-1-1-C-1;128.6;50;13.04;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV13-2-1-C;111.2;50;17.718;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AV12-1-1-F;43.2;50;0.082;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
AVI3-2-1-I;111.6;50;0.754;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
NV-1-2-I;136.6;50;4.558;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
NV1-3-F;133;50;0.578;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
NV-1-2-C;139.2;50;15.483;ЦВ;"Ca,Co,Cu,Fe,Ni,Ag";ZVS;;;;
Т17_115_2_1_С;;;;;;;;;;
;;;;;;;;;;
T13-110-Б-1-С;99.9;50;37.0453;ЦВ;Мультиэлемент;;;;;
T13-110-Б-1-I;100.3;50;15.9841;ЦВ;Мультиэлемент;;;;;
T13-110-aБ-1-I;102.2;50;10.5831;ЦВ;Мультиэлемент;;;;;
AV-1-42;101.8;50;22.6724;ЦВ;Мультиэлемент;;;;;
AV-1-42-F;100.6;50;0.4519;ЦВ;Мультиэлемент;;;;;
AV-1-131-C;101.3;50;15.0657;ЦВ;Мультиэлемент;;;;;
AV-1-131-F;100.8;50;4.7509;ЦВ;Мультиэлемент;;;;;
NV-MSP-I;100.7;50;0.4703;ЦВ;Мультиэлемент;;;;;
NV-AV-1-I;101.4;50;0.2707;ЦВ;Мультиэлемент;;;;;
NV1-6-0-1-F;99.7;50;9.474;ЦВ;Мультиэлемент;;;;;
NV1-3-C;102.7;50;22.937;ЦВ;Мультиэлемент;;;;;
NV1-6-0-1-I;103.9;50;7.051;ЦВ;Мультиэлемент;;;;;
NV1-6-0-1-C;101.8;50;39.411;ЦВ;Мультиэлемент;;;;;
;;;;;;;;;;
Шифр;Масса навески. мг;Объем. мл;;ЦВ;Мультиэлемент;;;;;
MCP_F_2_R;124.4;50;5.9864;ЦВ;Мультиэлемент;;;;;
NVI_4_1_I;96.5;50;5.866;ЦВ;Мультиэлемент;;;;;
T15_115_1_1_I;115.6;50;6.35;ЦВ;Мультиэлемент;;;;;
T17_105_2_1_I;97.4;50;12.646;ЦВ;Мультиэлемент;;;;;
T17_115_2_1_F;96.4;50;0.516;ЦВ;Мультиэлемент;;;;;
T15_105_2_1_F;104;50;1.286;ЦВ;Мультиэлемент;;;;;
NV_MCP_C;117;50;1.104;ЦВ;Мультиэлемент;;;;;
NVI_4_1_F;98.94;50;5.869;ЦВ;Мультиэлемент;;;;;
NVI_4_1_C;94.7;50;25.411;ЦВ;Мультиэлемент;;;;;
MCP_F_1_R;106.57;50;5.235;ЦВ;Мультиэлемент;;;;;
T15_105_2_1_I;93.5;50;16.561;ЦВ;Мультиэлемент;;;;;
T17_115_2_1_I;97.1;50;9.559;ЦВ;Мультиэлемент;;;;;
T17_105_2_1_F;98.25;50;0.754;ЦВ;Мультиэлемент;;;;;
T13_110_БF_1_F;105.5;50;4.599;ЦВ;Мультиэлемент;;;;;
T13_110_АБ_1_F;94.3;50;17.336;ЦВ;Мультиэлемент;;;;;
T13_110_A_1_I;95.4;50;22.36;ЦВ;Мультиэлемент;;;;;
T13_110_АБ_1_I;110.4;50;35.815;ЦВ;Мультиэлемент;;;;;
T13_110_БF_1_I;101;50;26.336;ЦВ;Мультиэлемент;;;;;
T13_110_А_1_F;106.12;50;11.385;ЦВ;Мультиэлемент;;;;;
;;;;;;;;;;
;;;;;;;;;;
T13_110_БF_1_C;104.2;50;2.0071;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
T13_110_AF_1_C;104.2;50;2.4141;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_АБf_1_C;105.2;50;1.5702;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
T13_110_AF гипс;112.5;50;70.8735;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_АБF гипс;115.5;50;58.6495;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_af_I;111;50;0.8919;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
T13_110_БF_гипс;101.7;50;66.2117;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_qF_1_F;110.1;50;0.7878;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_БF_1_F;117.6;50;0.3731;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_АБF_1_I;104;50;0.8006;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_АБF_1_F;110.4;50;0.2187;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
Т13_110_БF_1_I;112.8;50;0.4724;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
;;;;;;;;;;
;;;;;;;;;;
CS;105.4;50;0.1054;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
TF1;127.5;50;1.6772;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
TF2;113.2;50;0.1132;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
FO;128.3;50;1.8926;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
IM;120.4;50;2.1919;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
TO;111.7;50;0.1117;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
PO3;129.1;50;5.2701;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
МСП;119.9;50;2.4182;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
PV2;110.2;50;0.1102;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
PO2;110.8;50;10.7418;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
PO1;107.6;50;1.9791;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
PV1;125.2;50;4.1212;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
;;;;;;;;;;
;;;;;;;;;;
LST_2_C;110.7;50;21.9884;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_2_I;100.1;50;1.6095;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
AV_1_4.2_F;99.5;50;0.466;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_1_I;101.1;50;5.3091;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
AV_1_13.1_C;103;50;1.2144;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
NV1_5_1_C;105;50;30.6709;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
NV1_7_F;100.6;50;2.3116;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_3_C;106.1;50;32.7337;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
NV1_5_I;100.6;50;7.3221;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
NV1_7_I;110.7;50;9.7151;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_1_F;99.3;50;1.0937;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_3_I;104.3;50;2.6623;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_1_C;104.1;50;46.4548;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_2_F;101.9;50;0.7098;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
LST_3_F;99.8;50;1.1959;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
;;;;;;;;;;
ISO_4_I;100.3;50;7.4728;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
ISO_4_F;108.6;50;4.8033;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
ISO_4_C;134.6;50;51.5081;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
NV_1_7_C;108.1;50;30.9171;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
AV_1_4.2_I;109.1;50;0.5778;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
AV_1_4.2_C;156.3;50;5.9595;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_0_C;100.3;50;21.8455;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_0_I;104.4;50;0.4316;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_0_F;102.5;50;0.1594;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_1_I;106.5;50;0.622;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_1_F;102.4;50;0.2452;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_1_C;108.1;50;22.4129;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_2_I;131.9;50;0.786;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_2_F;109.2;50;0.2924;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_2_C;100.4;50;23.5068;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_3_I;102.3;50;2.5;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_3_F;106.5;50;0.6059;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_3_C;103.3;50;22.5304;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_4_I;102.7;50;2.0739;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_4_F;104.3;50;0.7481;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
S_4_C;136.5;50;19.7794;ЦВ;"Ca,Co,Cu,Fe,Ni";;;;;
;;;;;;;;;;
OM_C_3_C;101.6;;;;;;;;;
OM_C_3_F;103.9;;;;;;;;;
ISO_2_C;113.8;;;;;;;;;
ISO_2_I;108.4;;;;;;;;;
Vd_115_1_C;107.7;;;;;;;;;
ISO_3_C;102;;;;;;;;;
OM_C_3_I;99;;;;;;;;;
Vd_1272_C;108.5;;;;;;;;;
Vd_148_1_I;104.5;;;;;;;;;
ISO_3_I;105.5;;;;;;;;;
Vd_1272_1_F;102.7;;;;;;;;;
ISO_3_F;103;;;;;;;;;
Vd_148_1_F;99.8;;;;;;;;;
Vd_115_1_I;100.3;;;;;;;;;
Vd_115_1_F;103.7;;;;;;;;;
Vd_148_1_C;99.6;;;;;;;;;
Vd_1272_1_I;100.4;;;;;;;;;
ISO_2_F;106.6;;;;;;;;;
;;;;;;;;;;
OM_C_1_F;104.4;;;;;;;;;
OM_C_1_C;103.9;;;;;;;;;
OM_C_1_I;101.8;;;;;;;;;
OM_C_2_F;98.3;;;;;;;;;
OM_C_2_C;100.6;;;;;;;;;
OM_C_2_I;98.9;;;;;;;;;
OM_0_I;102.1;;;;;;;;;
OM_0_C;101;;;;;;;;;
OM_0_F;101.7;;;;;;;;;
OM_C_5_C;100.6;;;;;;;;;
OM_C_5_F;95.9;;;;;;;;;
OM_C_5_I;101.4;;;;;;;;;
Neu-4.15AV_T;104.1;;;;;;;;;
Neu-4.15AV_B;101.6;;;;;;;;;
